
Waiting for JIT...
[17:36:45 - main - INFO] -----------------------------
[17:36:45 - main - INFO] Iter:   0      Time: 97.875
[17:36:45 - main - INFO] -------------  --------------
[17:36:45 - main - INFO] rc_loss        1.912e-02
[17:36:45 - main - INFO] ru_loss        3.936e-03
[17:36:45 - main - INFO] rv_loss        1.959e-02
[17:36:45 - main - INFO] u_in_loss      6.805e-01
[17:36:45 - main - INFO] u_noslip_loss  2.163e-02
[17:36:45 - main - INFO] u_out_loss     2.748e-03
[17:36:45 - main - INFO] v_in_loss      2.530e-03
[17:36:45 - main - INFO] v_noslip_loss  3.802e-03
[17:36:45 - main - INFO] v_out_loss     8.427e-04
[17:36:45 - main - INFO] u_error        9.203e-01
