2024-05-16 21:23:00,862 INFO    StreamThr :635469 [internal.py:wandb_internal():86] W&B internal server running at pid: 635469, started at: 2024-05-16 21:23:00.862077
2024-05-16 21:23:00,863 DEBUG   HandlerThread:635469 [handler.py:handle_request():146] handle_request: status
2024-05-16 21:23:00,864 INFO    WriterThread:635469 [datastore.py:open_for_write():87] open: /home/pedro/PINN/jaxpi/examples/geomIII/wandb/run-20240516_212300-t6pzconm/run-t6pzconm.wandb
2024-05-16 21:23:00,864 DEBUG   SenderThread:635469 [sender.py:send():379] send: header
2024-05-16 21:23:00,864 DEBUG   SenderThread:635469 [sender.py:send():379] send: run
2024-05-16 21:23:01,371 INFO    SenderThread:635469 [dir_watcher.py:__init__():211] watching files in: /home/pedro/PINN/jaxpi/examples/geomIII/wandb/run-20240516_212300-t6pzconm/files
2024-05-16 21:23:01,371 INFO    SenderThread:635469 [sender.py:_start_run_threads():1124] run started: t6pzconm with start time 1715894580.861926
2024-05-16 21:23:01,374 DEBUG   HandlerThread:635469 [handler.py:handle_request():146] handle_request: check_version
2024-05-16 21:23:01,374 DEBUG   SenderThread:635469 [sender.py:send_request():406] send_request: check_version
2024-05-16 21:23:01,440 DEBUG   HandlerThread:635469 [handler.py:handle_request():146] handle_request: run_start
2024-05-16 21:23:01,446 DEBUG   HandlerThread:635469 [system_info.py:__init__():26] System info init
2024-05-16 21:23:01,446 DEBUG   HandlerThread:635469 [system_info.py:__init__():41] System info init done
2024-05-16 21:23:01,446 INFO    HandlerThread:635469 [system_monitor.py:start():194] Starting system monitor
2024-05-16 21:23:01,446 INFO    SystemMonitor:635469 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-05-16 21:23:01,446 INFO    HandlerThread:635469 [system_monitor.py:probe():214] Collecting system info
2024-05-16 21:23:01,446 INFO    SystemMonitor:635469 [interfaces.py:start():190] Started cpu monitoring
2024-05-16 21:23:01,447 INFO    SystemMonitor:635469 [interfaces.py:start():190] Started disk monitoring
2024-05-16 21:23:01,447 INFO    SystemMonitor:635469 [interfaces.py:start():190] Started gpu monitoring
2024-05-16 21:23:01,448 INFO    SystemMonitor:635469 [interfaces.py:start():190] Started memory monitoring
2024-05-16 21:23:01,448 INFO    SystemMonitor:635469 [interfaces.py:start():190] Started network monitoring
2024-05-16 21:23:01,455 DEBUG   HandlerThread:635469 [system_info.py:probe():150] Probing system
