
Waiting for JIT...
[14:40:02 - main - INFO] -----------------------------
[14:40:02 - main - INFO] Iter:   0      Time: 49.107
[14:40:02 - main - INFO] -------------  --------------
[14:40:02 - main - INFO] p_in_loss      1.142e+00
[14:40:02 - main - INFO] p_out_loss     1.933e-02
[14:40:02 - main - INFO] rc_loss        3.467e+01
[14:40:02 - main - INFO] ru_loss        1.858e+06
[14:40:02 - main - INFO] rv_loss        1.528e+06
[14:40:02 - main - INFO] u_noslip_loss  4.249e-02
[14:40:02 - main - INFO] v_in_loss      3.645e-01
[14:40:02 - main - INFO] v_noslip_loss  2.052e-01
[14:40:02 - main - INFO] v_out_loss     9.538e-02
[14:40:02 - main - INFO] u_error        2.071e+00
